asset_id,source,original_triangles,target_triangles,optimized_triangles,optimized_blend,review_fbx,textures,rig,status
L02-SHP-001_Armored_Warship_Boss,ArtSource/Blender/Ships/L02-SHP-001_Armored_Warship_Boss/L02-SHP-001_Armored_Warship_Boss_TripoV31_PBR.glb,1984291,50000,50000,ArtSource/Blender/Ships/L02-SHP-001_Armored_Warship_Boss/L02-SHP-001_Armored_Warship_Boss_Optimized_REVIEW.blend,Assets/_Project/Art/Ships/L02-SHP-001_Armored_Warship_Boss_Optimized_REVIEW.fbx,Assets/_Project/Art/Textures/Level02/L02-SHP-001_Armored_Warship_Boss_BaseColor.png;Assets/_Project/Art/Textures/Level02/L02-SHP-001_Armored_Warship_Boss_Normal.png;Assets/_Project/Art/Textures/Level02/L02-SHP-001_Armored_Warship_Boss_ORM.png,unrigged,Unity user review required
L02-PRP-001_Floating_Naval_Mine,ArtSource/Blender/Environment/L02-PRP-001_Floating_Naval_Mine/L02-PRP-001_Floating_Naval_Mine_TripoV31_PBR.glb,1957907,50000,50000,ArtSource/Blender/Environment/L02-PRP-001_Floating_Naval_Mine/L02-PRP-001_Floating_Naval_Mine_Optimized_REVIEW.blend,Assets/_Project/Art/Environment/L02-PRP-001_Floating_Naval_Mine_Optimized_REVIEW.fbx,Assets/_Project/Art/Textures/Level02/L02-PRP-001_Floating_Naval_Mine_BaseColor.png;Assets/_Project/Art/Textures/Level02/L02-PRP-001_Floating_Naval_Mine_Normal.png;Assets/_Project/Art/Textures/Level02/L02-PRP-001_Floating_Naval_Mine_ORM.png,unrigged,Unity user review required
L02-PRP-002_Heavy_Chain_Link_Unit,ArtSource/Blender/Environment/L02-PRP-002_Heavy_Chain_Link_Unit/L02-PRP-002_Heavy_Chain_Link_Unit_TripoV31_PBR.glb,1886098,80000,79999,ArtSource/Blender/Environment/L02-PRP-002_Heavy_Chain_Link_Unit/L02-PRP-002_Heavy_Chain_Link_Unit_Optimized_REVIEW.blend,Assets/_Project/Art/Environment/L02-PRP-002_Heavy_Chain_Link_Unit_Optimized_REVIEW.fbx,Assets/_Project/Art/Textures/Level02/L02-PRP-002_Heavy_Chain_Link_Unit_BaseColor.png;Assets/_Project/Art/Textures/Level02/L02-PRP-002_Heavy_Chain_Link_Unit_Normal.png;Assets/_Project/Art/Textures/Level02/L02-PRP-002_Heavy_Chain_Link_Unit_ORM.png,unrigged,Unity user review required
L03-SHP-001_Gunpowder_Skiff,ArtSource/Blender/Ships/L03-SHP-001_Gunpowder_Skiff/L03-SHP-001_Gunpowder_Skiff_TripoV31_PBR.glb,1964531,80000,80000,ArtSource/Blender/Ships/L03-SHP-001_Gunpowder_Skiff/L03-SHP-001_Gunpowder_Skiff_Optimized_REVIEW.blend,Assets/_Project/Art/Ships/L03-SHP-001_Gunpowder_Skiff_Optimized_REVIEW.fbx,Assets/_Project/Art/Textures/Level03/L03-SHP-001_Gunpowder_Skiff_BaseColor.png;Assets/_Project/Art/Textures/Level03/L03-SHP-001_Gunpowder_Skiff_Normal.png;Assets/_Project/Art/Textures/Level03/L03-SHP-001_Gunpowder_Skiff_ORM.png,unrigged,Unity user review required
L03-PRP-001_Gunpowder_Barrel_Cluster,ArtSource/Blender/Environment/L03-PRP-001_Gunpowder_Barrel_Cluster/L03-PRP-001_Gunpowder_Barrel_Cluster_TripoV31_PBR.glb,1926797,50000,50000,ArtSource/Blender/Environment/L03-PRP-001_Gunpowder_Barrel_Cluster/L03-PRP-001_Gunpowder_Barrel_Cluster_Optimized_REVIEW.blend,Assets/_Project/Art/Environment/L03-PRP-001_Gunpowder_Barrel_Cluster_Optimized_REVIEW.fbx,Assets/_Project/Art/Textures/Level03/L03-PRP-001_Gunpowder_Barrel_Cluster_BaseColor.png;Assets/_Project/Art/Textures/Level03/L03-PRP-001_Gunpowder_Barrel_Cluster_Normal.png;Assets/_Project/Art/Textures/Level03/L03-PRP-001_Gunpowder_Barrel_Cluster_ORM.png,unrigged,Unity user review required
L03-CHR-001_Storm_Fortress_Commander,ArtSource/Blender/Characters/L03-CHR-001_Storm_Fortress_Commander/L03-CHR-001_Storm_Fortress_Commander_TripoV25_MixamoRig.glb,1956944,80000,79999,ArtSource/Blender/Characters/L03-CHR-001_Storm_Fortress_Commander/L03-CHR-001_Storm_Fortress_Commander_TripoRig_Optimized_REVIEW.blend,Assets/_Project/Art/Characters/L03-CHR-001_Storm_Fortress_Commander_TripoRig_Optimized_REVIEW.fbx,Assets/_Project/Art/Textures/Level03/L03-CHR-001_Storm_Fortress_Commander_BaseColor.png;Assets/_Project/Art/Textures/Level03/L03-CHR-001_Storm_Fortress_Commander_Normal.png;Assets/_Project/Art/Textures/Level03/L03-CHR-001_Storm_Fortress_Commander_ORM.png,Tripo Mixamo-compatible 26-bone rig; 100% vertex weight coverage,Unity user review required
